source_text,translated_text
Feedback already submitted for the Interview {0}. Please cancel the previous Interview Feedback {1} to continue.,"Przesłano już opinie dotyczące wywiadu {0}. Aby kontynuować, anuluj poprzednią opinię {1}."
Lead Source,Główne źródło
Newly created user {0} has no roles enabled.,Nowo utworzony użytkownik {0} nie ma włączonych ról.
Search Results for,Wyniki wyszukiwania dla
Collapsible Depends On (JS),Składany w zależności od (JS)
No Data to Show,Brak danych do pokazania
No Applicable Earnings Component found for Gratuity Rule: {0},Nie znaleziono odpowiedniego składnika zarobków dla Gratuity Reguła: {0}
Optimizing image...,Optymalizacja obrazu...
Leave already have been assigned for this Leave Policy Assignment,Urlop został już przydzielony dla tego przypisania polityki urlopowej
Started At,Rozpoczęto od
Password set,Ustawione hasło
Auto Repeat Day,Automatyczne powtarzanie dnia
No. of Employees,Liczba pracowników
Edit Response,Edytuj odpowiedź
Update Existing Price List Rate,Aktualizacja istniejącego cennika
Supplier Scorecard variable,Zmienną Scorecard dostawcy;;;;;;;;
Scheduled On,Zaplanowane na
Set Project Status,Ustawianie statusu projektu
Only Workspace Manager can edit public workspaces,Tylko Menedżer przestrzeni roboczej może edytować publiczne przestrzenie robocze
Set filters to fetch employees,Ustaw filtry do pobierania pracowników
Left Bottom,Lewy dół
Loan Writte Off,Umorzenie pożyczki
Point- of -Sale Profil,Profil punktu sprzedaży
Self Appraisal,Samoocena
Query must be of SELECT or read-only WITH type.,Zapytanie musi być typu SELECT lub WITH tylko do odczytu.
Row #{0}: Timesheet amount will overwrite the Earning component amount for the Salary Component {1},Wiersz #{0}: Kwota arkusza czasu pracy zastąpi kwotę składnika zarobków dla składnika wynagrodzenia {1}.
Edit Existing,Edytuj istniejące
Only Workspace Manager can sort or edit this page,Tylko Menedżer obszaru roboczego może sortować lub edytować tę stronę.
Before Validate,Przed zatwierdzeniem
Exit Questionnaire Notification Template,Szablon powiadomienia o kwestionariuszu wyjścia
Job Info,Informacje o pracy
jane@example.com,jane@example.com
hh,hh
For V16 use UTILITY and AUTHENTICATION in place of TRANSACTIONAL and OTP,W przypadku V16 użyj UTILITY i AUTHENTICATION zamiast TRANSACTIONAL i OTP.
This error can be due to missing or deleted field.,Błąd ten może być spowodowany brakiem lub usunięciem pola.
Total in words (Company Currency),Łącznie słownie (waluta spółki)
Only {0} emailed reports are allowed per user.,Każdy użytkownik może wysłać tylko {0} raportów e-mail.
Inter,Inter
A friendly reminder of an important date for our team.,Przypominamy o ważnej dacie dla naszego zespołu.
Either key or IP flag is required.,Wymagany jest klucz lub flaga IP.
Done,Gotowe
Feedback Count,Liczba informacji zwrotnych
Scores,Wyniki
Leave Policy Assignment,Przypisanie polityki urlopowej
Send Test Email,Wyślij testową wiadomość e-mail
"You can only upload JPG, PNG, PDF, TXT or Microsoft documents.","Można przesyłać tylko dokumenty JPG, PNG, PDF, TXT lub Microsoft."
Is Table Field,Czy pole tabeli
Clear & Add Template,Wyczyść i dodaj szablon
Salary Slip {0} failed. You can resolve the {1} and retry {0}.,Poślizg wynagrodzenia {0} nie powiódł się. Możesz rozwiązać problem {1} i ponowić próbę {0}.
Warning: Insufficient leave balance for Leave Type {0} in this allocation.,Ostrzeżenie: Niewystarczające saldo urlopowe dla typu urlopu {0} w tym przydziale.
RQ Worker,Pracownik RQ
Field Orientation (Left-Right),Orientacja pola (lewo-prawo)
Session not active. Save document to login.,"Sesja nie jest aktywna. Zapisz dokument, aby się zalogować."
Bottom Center,Dolny środek
Employee Performance Feedback,Informacje zwrotne na temat wyników pracowników
Check Error Log {0} for more details.,Więcej informacji można znaleźć w dzienniku błędów {0}.
Process Payroll Accounting Entry based on Employee,Przetwarzanie wpisów księgowych listy płac w oparciu o pracownika
Over Order Allowance ,Dodatek za przekroczenie zamówienia
Parent Element Selector,Selektor elementu nadrzędnego
Ratings,Oceny
Current CTC,Obecne CTC
Watch Video,Zobacz film
Hold Invoice,Wstrzymanie faktury
The days between {0} to {1} are not valid holidays.,Dni od {0} do {1} nie są dniami wolnymi od pracy.
Select the Employee for which you want to allocate leaves.,"Wybierz pracownika, dla którego chcesz przydzielić urlopy."
Please enter a valid email address.,Wprowadź prawidłowy adres e-mail.
{0} ${l},{0} ${l}
Duplicate of {0} named as {1} is created successfully,Duplikat {0} o nazwie {1} został pomyślnie utworzony
Edit Workspace,Edytuj obszar roboczy
Workspace {0} Edited Successfully,Pomyślnie edytowano obszar roboczy {0}
DocType {0} does not exist.,DocType {0} nie istnieje.
Holidays this Week.,Święta w tym tygodniu.
Referrer Details,Szczegóły dotyczące odsyłającego
Child nodes can only be created under 'Group' type nodes,"Węzły podrzędne mogą być tworzone tylko w ramach węzłów typu """"Grupa""""."
This error can be due to invalid formula or condition.,Ten błąd może być spowodowany nieprawidłową formułą lub warunkiem.
User {0} is not permitted to access this document.,Użytkownik {0} nie ma dostępu do tego dokumentu.
Total allocated leaves {0} cannot be less than already approved leaves {1} for the period,Całkowita liczba przydzielonych urlopów {0} nie może być mniejsza niż liczba już zatwierdzonych urlopów {1} na dany okres.
Overlapping Shift Requests,Nakładające się wnioski o zmianę
Rest of the day,Reszta dnia
{0} of {1} Completed,{0} z {1} Ukończono
Track Material Request,Śledzenie wniosków o materiały
Mandatory Depends On (JS),Obowiązkowe Zależy od (JS)
Dashboard View,Widok pulpitu nawigacyjnego
T,T
Monthly Rank,Ranking miesięczny
Log DocType,Log DocType
Relieving Date Missing,Brakująca data zwolnienia
Print Format Builder Beta,Print Format Builder Beta
Allow Older Web View Links (Insecure),Zezwalaj na starsze łącza widoku sieci Web (niezabezpieczone)
Awesome Work,Niesamowita praca
Duplicate Certificate,Duplikat certyfikatu
Phone ID,Identyfikator telefonu
Raw Printing Settings,Ustawienia drukowania Raw
Please assign a Salary Structure for Employee {0} applicable from or before {1} first,Prosimy o przypisanie struktury wynagrodzeń dla pracownika {0} obowiązującej od lub przed {1}.
Drag,Przeciąganie
Form Tour,Form Tour
Page Number,Numer strony
Attendance not submitted for {0} as {1} is on leave.,"Nie zgłoszono obecności dla {0}, ponieważ {1} jest na urlopie."
Compare Versions,Porównanie wersji
Salary Slips submitted for period from {0} to {1},Odcinki wynagrodzenia przesłane za okres od {0} do {1}
Leave(s) Expired,Urlop(y) wygasł(e)
All allocated assets should be returned before submission,Wszystkie przydzielone aktywa powinny zostać zwrócone przed złożeniem wniosku
Use of function {0} in field is restricted,Użycie funkcji {0} w polu jest ograniczone
Payroll Payable Account,Konto listy płac do zapłaty
Cyan,Cyjan
Footer HTML set from attachment {0},Zestaw HTML stopki z załącznika {0}
Qualification Status,Stan kwalifikacji
Accounts Receivable Ageing,Przedawnienie należności
Login With {0},Zaloguj się za pomocą {0}
Items To Be Requested,Wymagane elementy
You can not define multiple slabs if you have a slab with no lower and upper limits.,"Nie można zdefiniować wielu płyt, jeśli płyta nie ma dolnego i górnego limitu."
Please enable atleast one Social Login Key or LDAP before disabling username/password based login.,Włącz co najmniej jeden klucz logowania społecznościowego lub LDAP przed wyłączeniem logowania opartego na nazwie użytkownika/hasle.
Activity,Aktywność
Drogi kliencie,Lieber Kunde
Event Update Log Consumer,Odbiorca dziennika aktualizacji zdarzeń
Connected App,Połączona aplikacja
Batch-Wise Balance History,Historia sald z uwzględnieniem partii
Are you sure you want to remove the {0} filter?,Czy na pewno chcesz usunąć filtr {0}?
Cannot change to/from autoincrement autoname in Customize Form,Nie można zmienić na/z autoincrement autoname w Customize Form
No {0} Found,Nie znaleziono {0}
Total Self Score,Całkowity wynik własny
Donation Details,Szczegóły darowizny
Membership Invoicing,Fakturowanie członkostwa
Document Share Key Expiry (in Days),Wygaśnięcie klucza udziału w dokumencie (w dniach)
Sort Options,Opcje sortowania
Stock Validations,Zatwierdzanie stanów magazynowych
Clear all filters,Wyczyść wszystkie filtry
Illegal template,Nielegalny szablon
Interview: {0} Rescheduled,Wywiad: {0} przełożony
Allow material consumptions without immediately manufacturing finished goods against a Work Order,Zezwalanie na zużycie materiałów bez natychmiastowej produkcji wyrobów gotowych zgodnie ze zleceniem pracy.
Show Tour,Show Tour
Footer Content,Zawartość stopki
You don't have permission to access the {0} DocType.,Nie masz uprawnień dostępu do {0} DocType.
{0} self assigned this task: {1},{0} samodzielnie przydzielił/a to zadanie: {1}
video,wideo
Attendance Warnings,Ostrzeżenia dotyczące frekwencji
Review various other settings related to Employee Leaves and Expense Claim,Przegląd innych ustawień związanych z urlopami pracowników i wnioskami o zwrot kosztów.
LDAP search path for Groups,Ścieżka wyszukiwania LDAP dla grup
Rate,Stawka
Administrator changed value of,Administrator zmienił wartość
File name,Nazwa pliku
OpenLDAP,OpenLDAP
Default Selling Price List,Domyślny cennik sprzedaży
Changing any setting will reflect on all the email accounts associated with this domain.,Zmiana dowolnego ustawienia wpłynie na wszystkie konta e-mail powiązane z tą domeną.
{0}: You can increase the limit for the field if required via {1},{0}: W razie potrzeby można zwiększyć limit pola za pomocą {1}.
"An amount of {0} already claimed for the component {1}, set the amount equal or greater than {2}","Kwota {0} została już zgłoszona dla składnika {1}, ustaw kwotę równą lub większą niż {2}."
"Allow users to log in without a password, using a login link sent to their email","Umożliwienie użytkownikom logowania się bez hasła, przy użyciu linku do logowania wysłanego na ich adres e-mail."
Goal should belong to the same Appraisal Cycle as its parent goal.,"Cel powinien należeć do tego samego Cyklu Oceny, co jego cel nadrzędny."
Modal Trigger,Wyzwalacz modalny
Time taken to fill the open positions,Czas potrzebny na obsadzenie wolnych stanowisk
Purchase Invoice has been submitted successfully,Faktura zakupu została przesłana pomyślnie
The reset password link has either been used before or is invalid,Link do resetowania hasła został już użyty lub jest nieprawidłowy.
Automate Donation Payment Entries,Automatyzacja wpisów płatności darowizn
Unclaimed Amount,Nieodebrana kwota
Full and Final Asset,Pełny i ostateczny zasób
LDAP Server Settings,Ustawienia serwera LDAP
Document is in draft state,Dokument jest w wersji roboczej
Condition & Formula,Stan i formuła
Pending Interviews,Oczekujące wywiady
Parent Document Type,Typ dokumentu nadrzędnego
Quality Inspection(s),Kontrola jakości
This action will prevent making changes to the linked appraisal feedback/goals.,Działanie to uniemożliwi wprowadzenie zmian w powiązanych informacjach zwrotnych/celach oceny.
Employee Feedback Criteria,Kryteria opinii pracowników
Standard user type {0} can not be deleted.,Użytkownik standardowy typu {0} nie może zostać usunięty.
You are not allowed to edit the report.,Nie możesz edytować raportu.
Configure the action to stop the transaction or just warn if the same rate is not maintained.,"Skonfiguruj akcję, aby zatrzymać transakcję lub tylko ostrzec, jeśli ta sama stawka nie zostanie utrzymana."
Default Payment Discount Account,Domyślne konto rabatowe płatności
processlist,lista procesów
Cannot update private workspace of other users,Nie można zaktualizować prywatnej przestrzeni roboczej innych użytkowników
Workspace Shortcut,Skrót do obszaru roboczego
All fields are necessary to submit the comment.,Wszystkie pola są niezbędne do przesłania komentarza.
Script Manager,Menadżer skryptów
The fieldname you've specified in Attached To Field is invalid,Nazwa pola określona w polu Attached To Field jest nieprawidłowa
Invalid docstatus,Nieprawidłowy status dokumentu
Autoincrement,Autoinkrementacja
Alternative Email ID,Alternatywny identyfikator e-mail
Map,Mapa
Please set {0} and {1} in {2}.,Ustaw {0} i {1} w {2}.
User Id Field,Pole identyfikatora użytkownika
The next tour will start from where the user left off.,"Następna trasa rozpocznie się od miejsca, w którym użytkownik ją przerwał."
Introduction to Selling,Wprowadzenie do sprzedaży
Added default log doctypes: {},Dodano domyślne typy doctypów dziennika: {}
Drag and drop files here or upload from,Przeciągnij i upuść pliki tutaj lub prześlij z
{} Invalid python code on line {},{} Nieprawidłowy kod Pythona w linii {}.
Margin Bottom,Dolny margines
Global Search,wyszukiwanie globalne
Is customer exempted from sales tax?,Czy klient jest zwolniony z podatku od sprzedaży?
Referral Bonus Payment Status,Status płatności premii za polecenie
Please update {} before continuing.,Zaktualizuj {} przed kontynuowaniem.
Print,Drukuj
Warning: Insufficient leave balance for Leave Type {0}.,Ostrzeżenie: Niewystarczające saldo urlopowe dla typu urlopu {0}.
Default View,Widok domyślny
Create Additional Salary,Utwórz dodatkowe wynagrodzenie
Edit Letter Head Footer,Edytuj stopkę nagłówka listu
Role Allowed to Over Bill,Rola dozwolona do przekroczenia rachunku
Custom Document Types,Niestandardowe typy dokumentów
Next on Click,Następnie kliknij
Create Workspace,Utwórz obszar roboczy
Report {0} saved,Raport {0} zapisany
Leave Details,Zostaw szczegóły
Duration (ms),Czas trwania (ms)
Make Bank Entry,Wprowadzanie danych bankowych
Default Base Pay,Domyślne wynagrodzenie podstawowe
Team Members Subtitle,Podtytuł członków zespołu
Customize Dashboard,Dostosuj pulpit nawigacyjny
Select a document to preview request data,"Wybierz dokument, aby wyświetlić podgląd danych żądania"
Revised CTC,Zmienione CTC
Section ID,Identyfikator sekcji
Allow Multiple Responses,Zezwalaj na wiele odpowiedzi
Expected Average Rating,Oczekiwana średnia ocena
Employee Details,Szczegóły dotyczące pracowników
started,rozpoczęty
Current Employer,Obecny pracodawca
Total Costing Amount (via Time Sheet),Całkowita kwota kosztów (za pośrednictwem arkusza czasu pracy)
Type title,Wpisz tytuł
Website Search Field,Pole wyszukiwania w witrynie
Total Gross Pay,Łączne wynagrodzenie brutto
Exclude Holidays,Z wyłączeniem świąt
Your account has been deleted,Twoje konto zostało usunięte
Please delete the Employee {0} to cancel this document,"Usuń pracownika {0}, aby anulować ten dokument"
"PDF printing via """"Raw Print"""" is not supported.","Drukowanie plików PDF za pomocą funkcji """"Raw Print"""" nie jest obsługiwane."
Rejected,Odrzucony
Group Duplicate Queries,Grupowanie zduplikowanych zapytań
POST,POST
Add Space at Top,Dodaj miejsce na górze
There's nothing here,Nic tu nie ma
Private,Prywatne
Insert Image in Markdown,Wstawianie obrazu w Markdown
Show Preview,Zapowiedź pokazu
Pink,Różowy
Onboarding Begins On,Onboarding rozpoczyna się w dniu
label,etykieta
Like limit,Jak limit
"Everyone, let’s congratulate {0} on their birthday.",Wszyscy pogratulujmy {0} z okazji ich urodzin.
You do not have permission to view this document,Nie masz uprawnień do wyświetlenia tego dokumentu
Edit Letter Head,Edycja nagłówka listu
Qualified on,Kwalifikacja w dniu
Control Historical Stock Transactions,Kontrola historycznych transakcji na akcjach
Align,Wyrównaj
Is Recurring Additional Salary,Czy powtarzające się dodatkowe wynagrodzenie
Go to Workspace,Przejdź do obszaru roboczego
Open Events,Otwarte wydarzenia
Relieving Date,Data zwolnienia
Create Job Opening,Tworzenie ofert pracy
Document Saved,Zapisany dokument
Generate Random Password,Generowanie losowego hasła
"Append as communication against this DocType (must have fields: """"Sender"""" and """"Subject""""). These fields can be defined in the email settings section of the appended doctype.","Dołącz jako komunikację do tego DocType (musi mieć pola: """"Nadawca"""" i """"Temat""""). Pola te można zdefiniować w sekcji ustawień wiadomości e-mail dołączonego typu dokumentu."
The application name will be used in the Login page.,Nazwa aplikacji będzie używana na stronie logowania.
Intro,Wprowadzenie
The value you pasted was {0} characters long. Max allowed characters is {1}.,Wklejona wartość miała długość {0} znaków. Maksymalna dozwolona liczba znaków to {1}.
Description to inform the user about any action that is going to be performed,"Opis informujący użytkownika o czynności, która ma zostać wykonana."
Customer {0} has been created succesfully.,Klient {0} został utworzony pomyślnie.
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,"Zaznacz tę opcję, jeśli chcesz wymusić na użytkowniku wybranie serii przed zapisaniem. Po zaznaczeniu tej opcji nie będzie żadnych ustawień domyślnych."
"[Important] [ERPNext] Razorpay donation webhook failed, please check.","[Ważne] [ERPNext] Razorpay donation webhook nie powiódł się, sprawdź."
Insufficient leave balance for Leave Type {0},Niewystarczające saldo urlopowe dla typu urlopu {0}
Manage Suppliers,Zarządzaj dostawcami
Scheduled Sending,Wysyłanie zaplanowane
{0} vacancies and {1} budget for {2} already planned for subsidiary companies of {3}. You can only plan for upto {4} vacancies and and budget {5} as per staffing plan {6} for parent company {3}.,{0} wakatów i {1} budżet na {2} już zaplanowano dla spółek zależnych {3}. Możesz zaplanować tylko do {4} wakatów i budżet {5} zgodnie z planem zatrudnienia {6} dla spółki dominującej {3}.
Use different Email ID,Użyj innego identyfikatora e-mail
Printer mapping not set.,Mapowanie drukarki nie zostało ustawione.
Tabloid,Tabloid
Cannot get file contents of a Folder,Nie można uzyskać zawartości pliku w folderze
Successfully imported {0},Pomyślnie zaimportowano {0}
This field allows you to set the maximum number of consecutive leaves an Employee can apply for.,"To pole umożliwia ustawienie maksymalnej liczby kolejnych urlopów, o które może ubiegać się pracownik."
LDAP Group Member attribute,Atrybut członka grupy LDAP
Sales Update Frequency in Company and Project,Częstotliwość aktualizacji sprzedaży w firmie i projekcie
Missing Filters Required,Wymagane brakujące filtry
Setup Your Letterhead,Skonfiguruj swój papier firmowy
{0} from {1} to {2} in row #{3},{0} od {1} do {2} w wierszu #{3}
No Roles Specified,Nie określono ról
Today {0} at our Company! 🎉,Dzisiaj {0} w naszej firmie! 🎉
"For Links, enter the DocType as range.",W przypadku Łącza wprowadź DocType jako zakres.
"For Select, enter list of Options, each on a new line.","Dla Select, wprowadź listę opcji, każda w nowym wierszu."
Invalid DocType,Nieprawidłowy DocType
Total working Days Per Year,Łączna liczba dni roboczych w roku
The date on which Salary Component with Amount will contribute for Earnings/Deduction in Salary Slip.,"Data, w której składnik wynagrodzenia z kwotą zostanie przekazany na poczet zarobków/potrąceń na odcinku wynagrodzenia."
Purchase Order,Zlecenia zakupu
Scheduler: Active,Harmonogram: Aktywny
Link Count,Liczba linków
Let's Set Up the Selling Module.,Skonfigurujmy moduł sprzedaży.
Maximum attachment limit of {0} has been reached.,Osiągnięto maksymalny limit załączników {0}.
undefined,niezdefiniowane
Interview,Wywiad
You haven't created a Skrypt klienta yet,Nie utworzyłeś jeszcze skryptu klienta
Translate Link Fields,Tłumaczenie pól linków
Login is required to see web form list view. Enable {0} to see list settings,"Do wyświetlenia listy formularzy wymagane jest zalogowanie. Włącz {0}, aby zobaczyć ustawienia listy"
One of the child page with name {0} already exist in {1} Section. Please update the name of the child page first before moving,Jedna ze stron podrzędnych o nazwie {0} już istnieje w sekcji {1}. Sekcja. Zaktualizuj nazwę strony podrzędnej przed jej przeniesieniem.
TimeoutError: The read operation timed out,TimeoutError: Operacja odczytu przekroczyła limit czasu
Fieldname '{0}' conflicting with a {1} of the name {2} in {3},"Nazwa pola """"{0}"""" jest w konflikcie z {1} o nazwie {2} w {3}."
Repeat on Days,Powtórz w dniach
Parentfield not specified in {0}: {1},Pole rodzica nie zostało określone w {0}: {1}
Completed By Role,Ukończone według ról
Customer Acquisition and Loyalty,Pozyskiwanie i lojalność klientów
You edited this {0},Edytowałeś to {0}
Self Appraisal Pending: {0},Samoocena w toku: {0}
Light Blue,Jasnoniebieski
Missing DocType,Brakujący DocType
No Interview has been scheduled.,Rozmowa kwalifikacyjna nie została zaplanowana.
No stock transactions can be created or modified before this date.,Przed tą datą nie można tworzyć ani modyfikować żadnych transakcji magazynowych.
to know more,aby dowiedzieć się więcej
Select Network Printer,Wybierz Drukarka sieciowa
"Pozdrawiamy, Meblito!","Grüße, Meblito!"
Time Taken,Czas trwania
Please add the remaining benefits {0} to the application as pro-rata component,Prosimy o dodanie pozostałych świadczeń {0} do wniosku jako składnika proporcjonalnego
Server Error,Błąd serwera
Sales Person-wise Transaction Summary,Podsumowanie transakcji według sprzedawcy
Leave Application period cannot be across two non-consecutive leave allocations {0} and {1}.,Okres wniosku o urlop nie może obejmować dwóch nienastępujących po sobie przydziałów urlopu {0} i {1}.
Load More Communications,Załaduj więcej komunikacji
Go to Login Required field,Przejdź do pola Wymagane logowanie
Invalid Naming Series: {},Nieprawidłowa seria nazw: {}
Book Tax Loss on Early Payment Discount,Księgowa strata podatkowa z tytułu rabatu za wcześniejszą płatność
Sending emails,Wysyłanie wiadomości e-mail
Not Started,Nie uruchomiono
Attendance Updated,Zaktualizowano frekwencję
Upcoming Holidays Reminder,Przypomnienie o zbliżających się świętach
Sum of all previous slabs,Suma wszystkich poprzednich płyt
"Select the Leave Type like Sick leave, Privilege Leave, Casual Leave, etc.","Wybierz typ urlopu, taki jak zwolnienie chorobowe, urlop uprzywilejowany, urlop dorywczy itp."
Field {0} is referring to non-existing doctype {1}.,Pole {0} odnosi się do nieistniejącego doctype {1}.
Token Cache,Pamięć podręczna tokenów
Upload Image,Prześlij obraz
Please select the employees you want to mark attendance for.,"Wybierz pracowników, których obecność chcesz zaznaczyć."
"Average of Goal Score, Feedback Score, and Self Appraisal Score (out of 5)","Średnia ocena celów, ocena informacji zwrotnych i samoocena (z 5)"
Automatic,Automatyczny
Expected Skillset,Oczekiwany zestaw umiejętności
Billed Hours,Naliczone godziny
Search for {0},Szukaj {0}
Onboard,Na pokładzie
Default In-Transit Warehouse,Domyślny magazyn tranzytowy
Is Carry Forward,Czy przeniesienie
"Once opening stocks are updated, you can create transactions like manufacturing and stock deliveries, where this opening stock will be consumed.","Po zaktualizowaniu zapasów początkowych można tworzyć transakcje, takie jak produkcja i dostawy zapasów, w których te zapasy początkowe zostaną zużyte."
Parent DocType,Rodzic DocType
Job Openings for the designation {0} are already open or the hiring is complete as per the Staffing Plan {1},Oferty pracy dla oznaczenia {0} są już otwarte lub rekrutacja została zakończona zgodnie z planem zatrudnienia {1}.
added rows for {0},dodane wiersze dla {0}
Please specify a valid parent DocType for {0},Podaj prawidłowy nadrzędny DocType dla {0}
Appraisee,Oceniany
Referral Details,Szczegóły polecenia
Creating Appraisals,Tworzenie ocen
Source and Rating,Źródło i ocena
"As document sharing is disabled, please give them the required permissions before assigning.","Ponieważ udostępnianie dokumentów jest wyłączone, przed przypisaniem należy nadać im wymagane uprawnienia."
Page Route,Strona drogi
Shared with the user {0} with {1} access,Współdzielone z użytkownikiem {0} z dostępem {1}
The total column width cannot be more than 10.,Całkowita szerokość kolumny nie może być większa niż 10.
Total salary booked against this component for this employee from the beginning of the year (payroll period or fiscal year) up to the current salary slip's end date.,Całkowite wynagrodzenie zaksięgowane w tym składniku dla tego pracownika od początku roku (okresu rozliczeniowego lub roku podatkowego) do daty końcowej bieżącego odcinka wynagrodzenia.
Average Feedback Score,Średni wynik opinii
{count} row selected,{count} wybrany wiersz
Open & Approved,Otwarte i zatwierdzone
Tax Exemption 80G Certificate Detail,Szczegóły certyfikatu zwolnienia z podatku 80G
Userinfo URI,Userinfo URI
KRA updated for all child goals.,Zaktualizowano KRA dla wszystkich celów dzieci.
Reset to default,Przywróć domyślne
Salary Structure must be submitted before submission of {0},Struktura wynagrodzeń musi zostać przedłożona przed złożeniem {0}.
or for Department: {0},lub dla działu: {0}
Query Parameters,Parametry zapytania
Creating Membership Invoice,Tworzenie faktury za członkostwo
Assignment Based On,Przypisanie na podstawie
System Updates,Aktualizacje systemu
Attendance for employee {0} is already marked for the date {1}: {2},Obecność pracownika {0} jest już zaznaczona na dzień {1}: {2}
Clear Cache,Wyczyść ciasteczka
Appraisal {0} does not belong to Employee {1},Ocena {0} nie należy do pracownika {1}.
Non-Billed Hours,Godziny niefakturowane
Update Progress,Aktualizacja postępów
Like limit per hour,Jak limit na godzinę
Amending,Zmiana
Subscription Status,Status subskrypcji
Create Custom Fields,Twórz niestandardowe pola
Deal Owner,Właściciel transakcji
Add section above,Dodaj sekcję powyżej
Year To Date,Od początku roku
Unqualified,Nie zakwalifikowany
Remove column,Usuń kolumnę
Selling Settings,Ustawienia sprzedaży
Allow Editing After Submit,Zezwalaj na edycję po przesłaniu
Please select a Member first.,Najpierw wybierz członka.
Create Appraisals,Tworzenie ocen
First Name,Imię
Claims,Roszczenia
Login link sent to your email,Link do logowania wysłany na adres e-mail
Remove Failed Jobs,Usuwanie nieudanych zadań
"Total weightage for all {0} must add up to 100. Currently, it is {1}%",Łączna waga dla wszystkich {0} musi sumować się do 100. Obecnie jest to {1}%
Email Retry Limit,Limit ponownych prób wysłania wiadomości e-mail
Potwierdzenie zamówienia,Bestellbestätigung
Phone Ext.,Telefon zew.
Make Attachments Public by Default,Domyślne upublicznienie załączników
Are you sure you want to reject the Employee Referral?,Czy na pewno chcesz odrzucić polecenie pracownika?
Please attach the package,Prosimy o dołączenie paczki
Please select donor first,Wybierz dawcę jako pierwszego
Select the start date for your Leave Application.,Wybierz datę rozpoczęcia wniosku o urlop.
Please enable {} before continuing.,Włącz {} przed kontynuowaniem.
HR-APR-.YYYY.-,HR-APR-.YYYY.-
Missing Permission,Brakujące zezwolenie
Check broken links,Sprawdź niedziałające linki
Module {} not found,Nie znaleziono modułu {}
Over Delivery / Receipt Allowance (%),Dopuszczalne przekroczenie dostawy / odbioru (%)
Setup Approval Workflows,Skonfiguruj przepływy pracy zatwierdzania
Comment limit,Jak ograniczyć
"Footer """"Powered By","Stopka """"Powered By"
Example: Setting this to 24:00 will log out a user if they are not active for 24:00 hours.,"Przykład: Ustawienie tej wartości na 24:00 spowoduje wylogowanie użytkownika, jeśli nie będzie on aktywny przez 24:00 godziny."
Error in Client Script,Błąd w skrypcie klienta
Resume link,Link do CV
Enable developer mode to create a standard Print Template,"Włącz tryb dewelopera, aby utworzyć standardowy szablon wydruku"
Incoming Settings,Ustawienia przychodzące
Default Template For Field,Domyślny szablon dla pola
"{0} ${skip_list ? """""""" : type}","{0} ${skip_list ? """""""" : type}"
This feature can not be used as dependencies are missing.Ta funkcja nie może być używana," ponieważ brakuje zależności."""
Please contact your system manager to enable this by installing pycups!,"Skontaktuj się z menedżerem systemu, aby włączyć tę funkcję, instalując pycups!"
Current Slab,Aktualna płyta
Payload Count,Liczba ładunków
Appraisal Linking,Łączenie ocen
Carry Forwarded Leaves,Przeniesione urlopy
Back,Powrót
Feedback Reminder Notification Template,Szablon powiadomienia o przypomnieniu o opinii
Sync {0} Fields,Synchronizacja {0} pól
Email Delivery Service,Usługa dostarczania wiadomości e-mail
Donation Webhook Secret,Sekret webhooka darowizny
Only reports of type Report Builder can be edited,Edytować można tylko raporty typu Report Builder
Are you sure you want to discard the changes?,Czy na pewno chcesz odrzucić zmiany?
Actual balances aren't available because the leave application spans over different leave allocations. You can still apply for leaves which would be compensated during the next allocation.,"Rzeczywiste salda nie są dostępne, ponieważ wniosek urlopowy obejmuje różne przydziały urlopów. Nadal możesz ubiegać się o urlopy, które zostaną zrekompensowane podczas następnej alokacji."
Switch Camera,Przełącz kamerę
Background Image,Obraz tła
Set all private,Ustaw wszystko prywatne
Folder Name,Nazwa folderu
System Notifications,Powiadomienia systemowe
Show Currency Symbol on Right Side,Pokaż symbol waluty po prawej stronie
Gratuity Rule Slab,Gratuity Rule Slab
"Products, Purchases, Analysis, and more.","Produkty, zakupy, analizy i nie tylko."
Basic Info,Podstawowe informacje
Frappe Whatsapp,Pisanie na klawiaturze Whatsapp
You,Ty
Requested By (Name),Zleceniodawca (imię i nazwisko)
Settings Missing,Brakujące ustawienia
Outgoing Server,Serwer wychodzący
Qualified By,Zakwalifikowany przez
Convert Item Description to Clean HTML in Transactions,Konwertowanie opisu pozycji na czysty HTML w transakcjach
There's no Employee with Salary Structure: {0}. Assign {1} to an Employee to preview Salary Slip,"Nie ma pracownika ze strukturą wynagrodzeń: {0}. Przypisz {1} do pracownika, aby wyświetlić podgląd odcinka wynagrodzenia"
Taxable Earnings Till Date,Zarobki podlegające opodatkowaniu do dnia
Auto Refresh,Automatyczne odświeżanie
Fetching,Wczytywanie
After Submission,Po przesłaniu
Web Form List Column,Kolumna listy formularzy internetowych
Link Type in Row,Typ łącza w wierszu
This company will be set for the Memberships created via webhook.,Ta firma zostanie ustawiona dla członkostw utworzonych za pośrednictwem webhook.
Year To Date(Company Currency),Od początku roku (waluta spółki)
Hour Rate (Company Currency),Stawka godzinowa (waluta firmy)
Permitted Roles,Dozwolone role
Doctype with same route already exist. Please choose different title.,Doctype z tą samą trasą już istnieje. Wybierz inny tytuł.
Package Name,Nazwa pakietu
